Película;Año;Imdb Score
Sarah's Key;2010;7,5
Jackie Brown;1997;7,5
2046;2004;7,5
Trade;2007;7,5
10 Days in a Madhouse;2015;7,5
Madadayo;1993;7,5
My Cousin Vinny;1992;7,5
Brooklyn;2015;7,5
Oliver!;1968;7,5
Richard III;1995;7,5
Red Dog;2011;7,5
The Texas Chain Saw Massacre;1974;7,5
Trading Places;1983;7,5
The Wind That Shakes the Barley;2006;7,5
Akeelah and the Bee;2006;7,5
Howards End;1992;7,5
Michael Jordan to the Max;2000;7,5
Rabbit-Proof Fence;2002;7,5
We Need to Talk About Kevin;2011;7,5
Fahrenheit 9/11;2004;7,5
Best in Show;2000;7,5
Standard Operating Procedure;2008;7,5
Salvador;1986;7,5
The Orphanage;2007;7,5
The Geographer Drank His Globe Away;2013;7,5
House of Sand;2005;7,5
Menace II Society;1993;7,5
Frenzy;1972;7,5
Gods and Monsters;1998;7,5
The Class;2008;7,5
Maria Full of Grace;2004;7,5
The Valley of Decision;1945;7,5
[Rec];2007;7,5
From Russia with Love;1963;7,5
American Splendor;2003;7,5
Ghost Dog: The Way of the Samurai;1999;7,5
A Nightmare on Elm Street;1984;7,5
Travelers and Magicians;2003;7,5
In the Bedroom;2001;7,5
Buffalo '66;1998;7,5
Rocket Singh: Salesman of the Year;2009;7,5
An Inconvenient Truth;2006;7,5
Welcome to the Dollhouse;1995;7,5
American Graffiti;1973;7,5
Kevin Hart: Laugh at My Pain;2011;7,5
Mad Hot Ballroom;2005;7,5
America Is Still the Place;2015;7,5
Metropolitan;1990;7,5
51 Birch Street;2005;7,5
Sisters in Law;2005;7,5
Call + Response;2008;7,5
The Texas Chain Saw Massacre;1974;7,5
Roger & Me;1989;7,5
George Washington;2000;7,5
The Circle;2000;7,5
The Adventures of Tintin;2011;7,4
Harry Potter and the Chamber of Secrets;2002;7,4
Contact;1997;7,4
The Rock;1996;7,4
Lincoln;2012;7,4
The Judge;2014;7,4
K-PAX;2001;7,4
Across the Universe;2007;7,4
Mean Streets;1973;7,4
Red Cliff;2008;7,4
Poltergeist;1982;7,4
Wonder Boys;2000;7,4
Looper;2012;7,4
Corpse Bride;2005;7,4
A Passage to India;1984;7,4
Notes on a Scandal;2006;7,4
The NeverEnding Story;1984;7,4
